"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"X041017C1d150S1"	"X041017E1d150S2"	"X041917E1d14S1"	"X041917F1d14S2"
"41"	"Dscc1"	57.0922281388277	-3.59897253089649	0.68711513877609	-5.23780124726562	1.6250092158371e-07	2.08882758385961e-05	187.606632681999	40.762279873312	0	0
"42"	"Rnf185"	316.882131696815	2.38085894825279	0.454728632576047	5.23577971056094	1.64289809966486e-07	2.08882758385961e-05	57.7935124375825	110.243438748276	424.136312793564	675.355262807838
"43"	"Baiap3"	95.7176590684398	-2.86453603078652	0.547677202530815	-5.23033644188493	1.69201819363551e-07	2.1012505009334e-05	195.608811327202	157.490626783251	15.0402947799136	14.7309033833924
"44"	"Ssbp2"	666.386500003451	-1.70271425069406	0.327425637806838	-5.20030826571547	1.98958266435679e-07	2.41462986992392e-05	1092.7419505506	981.073963314486	337.905289388726	253.824796759993
"45"	"Farsa"	100.58510156367	-3.24196943040301	0.625356339159442	-5.18419535773895	2.16949439620923e-07	2.57446668350162e-05	232.952311671487	153.784964976586	2.00537263732182	13.5977569692853
"46"	"Nr1d1"	218.929168952047	2.84817118905372	0.555950051067294	5.12307028947276	3.00600226382372e-07	3.48957654104754e-05	13.3369644086729	54.6585116483047	323.867680927473	483.853518823737
"47"	"Gm20752"	43.8581804905147	3.51954229890233	0.688475199523054	5.11208290631313	3.18625924610159e-07	3.62013284557075e-05	0	0	45.1208843397409	130.311837622318
"48"	"Fabp5"	1042.17977102391	2.07109983393938	0.407132617780957	5.08703980837433	3.63695516032839e-07	4.04611261586533e-05	411.667634747703	297.379359984844	1069.86630201119	2389.8057873519
"49"	"Siah1a"	172.10785525723	-2.28187377046739	0.449657748205876	-5.07469020509935	3.88127820808245e-07	4.22980114921639e-05	282.743645463865	307.569929953172	47.1262569770627	50.99158863482
"50"	"Dbf4"	1195.34508425104	1.49541969729835	0.296454005979051	5.04435651783372	4.55050146947549e-07	4.85993556939982e-05	605.498184153749	599.39079722802	2044.47740374959	1532.01395187281
"51"	"Glis1"	155.883641452682	-2.35379390672248	0.468933976713484	-5.01945694619743	5.18177570768743e-07	5.42562397628449e-05	246.289276080159	294.600113629846	44.1181980210799	38.5269780796418
"52"	"Slc24a5"	951.185460494725	1.92981592535619	0.387339542164942	4.98223319666757	6.28546216819352e-07	6.45468614964488e-05	365.432824797637	351.111456181483	998.675573386264	2089.52198761351
"53"	"Il22ra1"	295.585629069434	2.45298158604734	0.49312011270075	4.97440993151283	6.54466843919695e-07	6.59406216326636e-05	94.2478818212884	47.2471880349753	334.897230432743	705.950215988731
"54"	"Adam11"	50.6902008443974	3.36103749962012	0.687882829821655	4.88606104689592	1.0287331289544e-06	0.00010173027608549	0	0.926415451666182	164.440556260389	37.3938316655347
"55"	"Syvn1"	887.691781478541	-1.52135092097055	0.311931808453338	-4.87719071842628	1.07607382228572e-06	0.000104476985654649	1164.76155835743	1508.20435531254	473.267942407949	404.533269836239
"56"	"Rnf114"	1502.42198417964	-1.40598993302546	0.288968234998281	-4.8655518591302	1.14137877113083e-06	0.000108838618532833	1987.20769689226	2429.98772972039	710.904599930584	881.587910175333
"57"	"Zfpm1"	3003.21344109149	1.19523910014756	0.245873138981558	4.86120242779839	1.16674867410186e-06	0.000109305928415858	1708.90970623129	1873.21204326902	4074.91719903793	4355.81481582774
"58"	"Cmtr1"	50.5220059585305	3.31844982096996	0.683555202560216	4.85469177696388	1.20574133792127e-06	0.000111011357663786	0.889130960578193	0.926415451666182	37.0993937904536	163.173083631424
"59"	"Dact1"	44.0013122774029	-3.28942230996824	0.678617466233233	-4.84724085901689	1.25190400755125e-06	0.000113307922039384	70.2413458856772	103.758530586612	2.00537263732182	0
"60"	"Ikzf2"	38.863903774863	3.31283316300823	0.686075059134288	4.82867452897716	1.37444840515156e-06	0.000120320565303432	0	0.926415451666182	101.271318184752	53.2578814630342
"61"	"Mrpl40"	2128.11136707435	1.24872070384052	0.258434644639287	4.83186263816693	1.352615693522e-06	0.000120320565303432	1267.01161882392	1197.85517900437	2804.51363329456	3243.06503717455
"62"	"Usp31"	335.246117132412	-1.83778772413604	0.381682464981177	-4.81496503704112	1.47225664912425e-06	0.000126804040424573	566.376421888309	506.749252061401	153.411006755119	114.447787824818
"63"	"Clcf1"	220.041811872708	-2.4686111686303	0.514193207411951	-4.80094083905809	1.57921922091365e-06	0.000133857629201252	315.641491005258	464.134141284757	73.1961012622463	27.1955139385707
"64"	"Zbtb38"	254.274271086451	-2.13928596724115	0.447060455610132	-4.78522745726085	1.70793801358449e-06	0.000142506078008456	485.465504475693	371.492596118139	58.1558064823327	101.98317726964
"65"	"Rap1a"	2835.57304421893	1.17086073054784	0.244986617846617	4.77928443945008	1.75920169133726e-06	0.000144525185103707	1650.22706283313	1774.08558994074	4061.88227689534	3856.0972472065
"66"	"9630033F20Rik"	497.874922338613	-1.55659815091689	0.326660826599387	-4.76518157111592	1.88683660081656e-06	0.000152662234066067	728.19825671354	782.821056657924	243.652775434601	236.827600548386
"67"	"Zkscan7"	32.9320836273694	3.26672522066158	0.692128466753323	4.71982497120127	2.36047661929209e-06	0.000188133509657011	0	0	76.204160218229	55.5241742912485
"68"	"Tpd52"	1458.06934922958	-1.69233372407378	0.359286639394509	-4.71026066242205	2.47400173321063e-06	0.000194281900813893	2705.62551303944	1840.7875024607	472.265256089288	813.599125328906
"69"	"Sfta2"	415.60035842822	1.76838633531129	0.376312861443428	4.69924500727471	2.61125033564546e-06	0.000202088069454301	154.708787140606	192.694413946566	544.458671032873	770.539561592836
"70"	"Ptpn20"	69.7921789004436	-2.95883373200613	0.631139817183701	-4.68807964803927	2.75780690303577e-06	0.000210381269460157	183.160977879108	82.4509751982902	9.02417686794817	4.53258565642845
"71"	"Msantd4"	1385.44661797672	-1.31505709992706	0.281019763237744	-4.67958938110169	2.87450026475166e-06	0.000216194808644702	2073.45340006835	1925.09130856233	854.288743499094	688.953019777124
"72"	"Slc25a25"	366.338090552056	-1.78932149933072	0.383190389518936	-4.66953647135323	3.01880104180076e-06	0.000223894410600223	493.467683120897	670.724787006316	167.448615216372	133.711276864639
"73"	"1300002E11Rik"	1655.92723035457	1.33617610228418	0.286737115819113	4.65993423441945	3.16310430612593e-06	0.00023138324650291	1043.8397477188	778.188979399593	2486.66207027905	2315.01812402083
"74"	"Celf1"	390.96625427544	-1.86906335955688	0.401954802658279	-4.6499341398487	3.32041042837582e-06	0.00023960799577739	533.478576346916	727.236129557953	117.314299283326	185.836011913566
